Input,Output,Emotion_Label,Affirmation_Tag
"i'm doin my tweets on my phone so i have on clue how to reply to anyone. but thank u fiercemichi, as soon as i can i'll check it out.",I am a channel for love and healing,relief,gratitude
@marginatasnaily haha..i wont  well il try not..lol... night chick..xxxxx,I send love and gratitude to every part of my body,worry,health
Stuck on the 710 ... Going to my 2nd job ...  ... Why can't I find a good office job???,I am constantly offered great jobs.,sadness,blessing
i can't believe my little brother is married...,Amazing coincidences come into my life on a regular basis.,surprise,blessing
"@swopusa  Damn, I was hoping that was somewhere in the U.S.",I trust I am exactly where I am supposed to be now,worry,spiritual
@Jamjar84 that's mean of them!,My true love is on their way to me,sadness,love
@Thecookieninja if mom gets paid...,I attract successful people who generously share with me.,neutral,blessing
Yes - before you say it - I know I split a train of thought over three tweets. I think the last time was summer '08. It happens sometimes,Life is unfolding perfectly,neutral,gratitude
@annabranch You just let me know how that goes.,All of my interactions are harmonious,happiness,love
@smashingpumpkin http://twitpic.com/67h72 -,I am a channel for love and healing,neutral,gratitude
"Apple FAIL. If you set up a new British Mac, the dashboard weather widget is for London, Canada, not the UK one  (Hard to tell too!)",I radiate love and happiness wherever I go,sadness,love
"@specialk0478 yeah she's part lab, part spaniel.. all energy hehe but i love her to death","I am attracting a loving, supportive soul mate",love,love
@stephyanime Yeah,Following my joy reveals the path to my best life.,neutral,happiness
just woke up still fukin sick,I have a strong and effective immune system,worry,health
We're home now,I send love and gratitude to every part of my body,worry,health
Is FINALLY having dinner... At Nishiki Sushi!,I am greeted by love wherever I go,happiness,love
@ConcertJunkie &quot;I SAAAAAAID!!&quot; Haha. It kinda makes me sad though.  http://bit.ly/uJUA3,I am a channel for love and healing,sadness,gratitude
I hate sitting at the doctors office! They told me she is running an hour behind! AWESOME,I trust I am exactly where I am supposed to be now,worry,spiritual
@jpiasentin bawkmarked,I am worthy of feeling happy.,neutral,happiness
@kidcatastrophe so cool to hear you guys on 104.5! and i can't believe you in were cherry hill a few weeks ago and i missed it  come back,Fantastic opportunities greet me at every turn.,happiness,blessing
